Experiment	MG94	YN98
exp_SimuStab_0.100000_exp	0.5788891651156529	0.6094970281085725
exp_SimuStab_0.316228_exp	0.627850535666125	0.6273539574029384
exp_SimuStab_1.000000_exp	0.6736606535390444	0.663250716562928
exp_SimuStab_10.000000_exp	0.03492726995204931	0.04065437248404491
exp_SimuStab_3.162278_exp	0.9292069353672191	0.9313537099237864
